Found 2 args.
Observation: q8nc8; Result size: 197; atts: 2
who	$m	
g	ehm do you have the start yeah 	
f	uh-huh right 	
g	and the diamond mine 	
f	in the up at 	
f	uh-huh 	
f	up at the top to the left of the diamond mind 	
g	yeah 	
f	mine right 	
g	ah right 	
g	if you come down to the just below the "d" in the diamond 	
f	okay 	
f	straight down 	
g	yeah 	
g	and then along 	
g	do you have the springboks 	
f	no 	
g	no 	
g	do you have the highest viewpoint 	
f	uh-huh 	
f	over in the right 	
f	uh-huh 	
g	yeah 	
g	right 	
g	if you move up very slightly to the right along to the right 	
g	yeah 	
g	did i say that yeah 	
g	up very slightly to the right 	
f	right wait a minute 	
f	i'm go-- i've to go along the bottom of the diamond diamond mine first 	
g	uh-huh yeah 	
f	right 	
g	yeah 	
f	so i'm 	
f	right 	
g	ehm from the "e" in mine 	
f	uh-huh 	
g	i go another maybe six centimetres in the same direction 	
f	mmhmm 	
g	and then move if you move around and up to the left almost vertically but not quite 	
f	around 	
g	uh-huh 	
g	to 	
f	so right i'm i'm at the moment i'm about halfway between the diamond mine and the highest viewpoint 	
g	yeah right 	
g	if you go along another maybe two or three centimetres then 	
f	right 	
g	and then up and around to the left almost vertically but not quite 	
f	right oh 	
g	'til you get to about level with the bottom of the mountain or hill 	
f	oh right okay mmhmm 	
g	okay 	
g	and then just move around the top about a centimetre space between the your route and the mountain if you just go right around to the 	
f	so wait a minute i'm going right round the top of the mountain then 	
g	uh-huh uh-huh 	
f	a cu-- just curving right round 	
g	yeah 	
g	until you get to the bottom of the mountain at the right-hand side 	
g	you got that yeah 	
f	uh-huh 	
g	right 	
g	now move down about f-- six centimetres 	
f	just just ver-- straight down 	
g	just vertically down yeah 	
f	have you got the overgrown gully 	
g	no 	
f	all right 	
f	have you got the safari truck 	
g	yeah 	
g	and if when you stop you should be about two centimetres above the safari truck 	
f	to the right of it 	
f	oh r-- 	
g	yeah 	
g	yeah 	
f	right 	
f	right 	
g	and move down about forty-five degrees to the left 	
g	do you have the field station 	
f	no oh 	
g	no 	
g	if you move down about seven centimetres to the left 	
f	right 	
f	going across the top of the safari truck 	
g	yeah yeah 	
f	so going down but to the left at the same time 	
g	mmhmm 	
g	when you stop you should be about two centimetres from safari truck and a wee bit below it 	
f	right 	
g	okay 	
g	and now just move along to the left 	
f	in what way horizontal straight across 	
g	yeah 	
g	do you have the banana tree 	
f	uh-huh 	
g	right 	
g	if you move along and round the top of that 	
f	right okay 	
f	so is it straight across 	
g	mmhmm 	
f	and then round 	
g	the top of the banana tree 	
g	and down on the left-hand side of it 	
f	mmhmm 	
g	for about twenty centimetres 	
f	all right 	
f	so a good bit down then 	
g	yeah 	
f	have you got the 	
g	do you have the gold mine 	
f	no 	
g	no 	
g	yeah 	
g	about twenty centimetres then 	
f	i've got the rock fall 	
f	have you got that 	
g	no 	
f	oh 	
f	right eh right just that's quite a lot then twenty centimetres i draw the line 	
f	where 	
f	right 	
f	have you got the great lake 	
g	no i don't have 	
f	oh right 	
g	yes sorry i do 	
g	ehm 	
f	so i'm am i still a good bit above the great lake 	
g	you're about i'd say about ten fifteen centimetres above the great lake 	
f	right okay 	
f	okay 	
g	right ehm 	
g	if you move along 	
g	do you have the rope bridge 	
f	ehm uh-huh 	
f	i've got one over at the right about halfway down the page 	
g	uh-huh that's right 	
g	if you move along horizontally about three or four centimetres 	
f	mmhmm 	
g	and then once you've done that move up to the rope bridge just from where you are to the rope bridge and then cross it 	
f	sort of diagonally 	
f	right 	
f	right 	
g	do you have the giraffes 	
f	uh-huh 	
f	i've also got some crocodiles 	
g	ehm once you've crossed the rope bridge if you move out in the same direction 	
f	mmhmm 	
g	curving round a little to maybe two centimetres or so 	
f	right 	
f	mmhmm 	
g	and then move vertically down to the giraffes 	
f	right 	
f	okay 	
f	so i'm at the the right of the giraffes 	
g	mmhmm 	
f	okay so 	
f	what do i do now 	
g	ehm you sh-- you should be around about at the "s" in giraffe about a centimetre below it 	
f	okay 	
g	and then curve round slightly for about four five centimetres 	
f	what going going left 	
g	going left sorry yeah 	
f	so curving up the way 	
g	no curving down 	
f	right 	
f	have you got the disused warehouse 	
g	no i don't 	
f	right 	
f	am i going quite near the bottom of the page here then 	
g	no 	
g	once you once you've moved you should be about maybe five centimetres from bottom of page 	
g	and start to curve up the way instead but still going left 	
f	right 	
f	i think i'm probably to go underneath the warehouse then 	
g	mmhmm 	
f	right 	
g	and move that down almost vertically down but not quite for about two centimetres 	
f	wait a minute where am i in relation to the great lake now then well i mean 	
g	you should be about 	
f	at the moment i'm about level with the great lake but about th-- two three centimetres to the right of it 	
g	mm that's about okay 	
f	right 	
g	if you come down so you're about a centimetre below the great lake and just move underneath the great lake 	
f	so i'm going back down again 	
f	oh right go underneath it 	
f	so just straight across then to the left 	
g	straight across 	
g	until you get to the "g" 	
f	s-- i'll just score that wee bit out then 	
f	uh-huh 	
g	and if you curve up to the left ehm about five centimetres 	
g	do you have the rock fall 	
f	uh-huh 	
g	right 	
g	you should you should finish about two centimetres below the rock fall and about five centimetres to the left of the rock fall 	
f	right 	
f	that's the finish then 	
g	yeah 	
f	right 	
