Words                  Count    
the                    12868    
right                   7301    
you                     6647    
to                      4443    
of                      4017    
i                       3602    
and                     3453    
a                       3433    
it                      2923    
go                      2585    
-                       2522    
okay                    2457    
that                    2405    
's                      2211    
just                    2094    
left                    1808    
down                    1784    
yeah                    1709    
got                     1703    
have                    1649    
so                      1641    
're                     1633    
about                   1616    
then                    1609    
up                      1597    
uh                      1539    
huh                     1461    
do                      1383    
've                     1323    
no                      1311    
side                    1091    
well                    1089    
at                      1012    
is                      1003    
there                   1001    
"                       998     
hand                    994     
going                   985     
on                      974     
from                    949     
round                   925     
mmhmm                   903     
where                   875     
in                      869     
above                   864     
now                     831     
straight                814     
bottom                  751     
your                    742     
'm                      738     
top                     737     
n't                     720     
line                    719     
an                      667     
below                   635     
eh                      634     
ehm                     633     
if                      598     
along                   583     
page                    577     
underneath              561     
see                     554     
sort                    552     
like                    552     
oh                      550     
lake                    538     
be                      532     
but                     523     
what                    519     
inch                    495     
two                     490     
want                    481     
curve                   478     
come                    466     
inches                  442     
centimetres             430     
are                     426     
not                     418     
towards                 392     
start                   385     
or                      382     
bit                     357     
we                      349     
know                    348     
should                  345     
mine                    339     
'                       338     
over                    337     
mountain                337     
east                    335     
past                    332     
as                      306     
half                    301     
yes                     300     
tree                    293     
three                   291     
way                     291     
until                   290     
my                      289     
'll                     281     
til                     279     
with                    276     
point                   269     
this                    266     
how                     263     
bay                     263     
between                 261     
level                   255     
directly                254     
across                  254     
far                     251     
one                     250     
wee                     245     
s--                     236     
draw                    234     
map                     233     
for                     232     
can                     231     
west                    228     
edge                    226     
again                   222     
back                    218     
bridge                  218     
slightly                212     
south                   211     
aye                     209     
turn                    207     
move                    205     
under                   201     
finish                  199     
get                     198     
stop                    198     
corner                  195     
white                   190     
diamond                 190     
them                    186     
centimetre              184     
mean                    181     
rope                    180     
away                    178     
me                      166     
middle                  163     
end                     156     
am                      154     
er                      154     
old                     151     
out                     151     
same                    150     
mm                      148     
forest                  147     
pine                    145     
kind                    142     
five                    141     
north                   138     
crane                   134     
sorry                   133     
here                    132     
cottage                 132     
abandoned               130     
head                    129     
hideout                 129     
say                     129     
which                   127     
great                   127     
other                   126     
halfway                 125     
rocks                   124     
ravine                  124     
keep                    123     
when                    122     
rock                    120     
cross                   120     
take                    119     
maybe                   119     
stone                   117     
very                    117     
erm                     116     
all                     115     
ah                      115     
another                 113     
goes                    112     
follow                  112     
banana                  112     
four                    111     
would                   110     
circle                  110     
think                   110     
could                   107     
quite                   107     
paper                   107     
monastery               106     
by                      106     
fallen                  106     
diagonally              105     
need                    104     
a--                     103     
river                   103     
creek                   102     
meadow                  100     
off                     100     
through                  99     
cliffs                   97     
waterfall                97     
fort                     96     
f--                      96     
near                     95     
mill                     92     
concealed                92     
gold                     91     
shore                    91     
stream                   91     
due                      91     
telephone                89     
um                       88     
diagonal                 88     
avoid                    88     
house                    87     
anything                 87     
does                     86     
truck                    86     
make                     86     
stones                   85     
th--                     85     
around                   84     
slate                    84     
almost                   82     
valley                   82     
fine                     82     
t--                      81     
they                     81     
carved                   80     
y--                      80     
d--                      79     
angle                    79     
vertically               78     
'cause                   77     
before                   77     
graveyard                77     
city                     77     
gone                     77     
coming                   76     
dead                     76     
marked                   75     
stile                    75     
couple                   74     
actually                 74     
slope                    74     
monument                 74     
curving                  73     
shape                    73     
thing                    73     
done                     72     
fall                     72     
country                  72     
c                        71     
beside                   71     
horizontally             71     
was                      70     
more                     70     
heading                  70     
minute                   69     
miss                     68     
saloon                   68     
pole                     68     
gate                     67     
viewpoint                67     
further                  67     
bar                      67     
after                    66     
saxon                    65     
something                65     
fence                    65     
village                  65     
wait                     64     
grove                    64     
pebbled                  64     
footbridge               64     
camp                     63     
into                     63     
'd                       63     
barn                     62     
allotments               62     
remote                   62     
upwards                  62     
pillars                  62     
horizontal               61     
box                      60     
big                      60     
beneath                  60     
farm                     60     
carpenter                60     
walled                   59     
cattle                   59     
e                        59     
site                     59     
garden                   58     
fields                   58     
went                     58     
shelter                  58     
still                    58     
picket                   58     
good                     57     
doing                    57     
disused                  57     
alpine                   56     
fast                     56     
ruined                   56     
says                     56     
trout                    56     
quarry                   55     
s                        55     
any                      55     
green                    55     
lagoon                   55     
really                   55     
starting                 54     
pyramid                  54     
fenced                   54     
collapsed                54     
anyway                   53     
seven                    53     
drawing                  53     
g--                      53     
indian                   52     
parked                   52     
pass                     52     
water                    52     
six                      52     
rocket                   51     
granite                  51     
u                        51     
centre                   51     
bakery                   51     
once                     51     
imagine                  50     
r--                      50     
rift                     50     
steps                    50     
than                     50     
though                   50     
moment                   49     
nothing                  48     
were                     48     
giraffes                 48     
c--                      48     
van                      48     
next                     48     
downwards                48     
did                      48     
slight                   47     
warehouse                47     
land                     47     
first                    47     
finished                 46     
l--                      46     
flat                     46     
only                     46     
parallel                 46     
degrees                  46     
caravan                  46     
ten                      46     
park                     46     
will                     45     
tip                      45     
vertical                 45     
boat                     45     
bandit                   44     
opposite                 44     
curved                   43     
buffalo                  43     
burnt                    42     
lost                     42     
gazelles                 42     
reach                    42     
attractive               42     
alright                  41     
territory                41     
close                    41     
hang                     41     
noose                    41     
m--                      40     
temple                   40     
field                    40     
word                     40     
safari                   40     
probably                 40     
direction                40     
wooden                   40     
shop                     40     
cairn                    40     
station                  39     
outlaws                  39     
route                    39     
apache                   39     
continue                 39     
southwest                39     
crossing                 39     
forty                    38     
put                      38     
hot                      38     
desert                   38     
i--                      38     
sloping                  37     
chestnut                 37     
southeast                37     
stockade                 37     
obstacle                 37     
camera                   37     
some                     36     
drop                     36     
long                     36     
basically                36     
suppose                  35     
antelopes                35     
nope                     35     
quarters                 35     
b--                      34     
roughly                  34     
coast                    34     
beeches                  34     
drawn                    34     
w--                      34     
secret                   34     
yet                      34     
wh--                     33     
t                        33     
course                   33     
its                      33     
avalanche                33     
must                     33     
reclaimed                33     
because                  33     
thirds                   32     
flagship                 32     
ca                       32     
volcano                  32     
yacht                    32     
running                  32     
rapids                   32     
playground               32     
highest                  32     
adventure                32     
crevasse                 32     
n--                      32     
less                     31     
broken                   31     
mark                     31     
letter                   31     
third                    31     
ship                     31     
little                   31     
elm                      31     
outside                  31     
falls                    31     
relation                 30     
sure                     30     
club                     30     
words                    30     
haystack                 29     
flowing                  29     
lighthouse               29     
savannah                 29     
pirate                   29     
tell                     29     
base                     29     
keeping                  29     
said                     29     
ruins                    28     
different                28     
totem                    28     
wheatfields              28     
sh--                     28     
kiosk                    28     
o--                      27     
dutch                    27     
golf                     27     
b                        27     
forge                    27     
washed                   26     
missionary               26     
had                      26     
crest                    26     
test                     26     
fire                     26     
degree                   26     
peak                     26     
starts                   26     
wheel                    25     
comes                    25     
few                      25     
le--                     25     
vast                     25     
avoiding                 25     
extinct                  25     
northwest                25     
bump                     25     
golden                   25     
trying                   25     
writing                  24     
trig                     24     
obstacles                24     
correct                  24     
d                        24     
beach                    24     
ghost                    24     
town                     24     
time                     24     
supposed                 24     
roman                    24     
lion                     24     
plane                    24     
matter                   23     
farmed                   23     
beyond                   23     
started                  23     
cactus                   23     
distance                 23     
why                      23     
much                     23     
ranch                    23     
ancient                  23     
crash                    23     
roof                     23     
whatever                 23     
overgrown                22     
youth                    22     
wide                     22     
stopped                  22     
sandy                    22     
these                    22     
stony                    22     
hostel                   22     
settlement               22     
meant                    22     
manned                   22     
yours                    22     
spaceship                22     
walk                     22     
path                     22     
exactly                  22     
baths                    22     
whereabouts              22     
spot                     22     
tribal                   21     
gully                    21     
cut                      21     
seagulls                 21     
nearly                   21     
wells                    21     
r                        21     
trees                    21     
tourist                  20     
farmer                   20     
slabs                    20     
flight                   20     
too                      20     
pelicans                 20     
walking                  20     
cornfields               19     
poisoned                 19     
talking                  19     
residents                19     
came                     19     
okey                     19     
loop                     19     
nuclear                  19     
approximately            19     
overnight                19     
museum                   19     
northeast                18     
go--                     18     
springs                  18     
moving                   18     
small                    18     
swan                     18     
pond                     18     
missing                  18     
curves                   18     
enough                   18     
x                        18     
hold                     18     
skirt                    18     
u--                      18     
accommodation            18     
o'clock                  18     
gorillas                 18     
stay                     18     
popular                  18     
crashed                  18     
mud                      18     
never                    18     
canoes                   18     
k                        18     
following                18     
local                    18     
mind                     18     
part                     17     
p--                      17     
un--                     17     
v--                      17     
wanting                  17     
fork                     17     
arc                      17     
quarter                  17     
cavalry                  17     
yep                      17     
let                      17     
hit                      17     
look                     17     
finishing                17     
machete                  16     
chapel                   16     
anywhere                 16     
god                      16     
twelve                   16     
cave                     16     
carry                    16     
springboks               16     
hills                    16     
triangle                 16     
bend                     16     
stops                    16     
dokey                    16     
thatched                 16     
ab--                     16     
front                    16     
train                    15     
wrong                    15     
been                     15     
space                    15     
h--                      15     
footpath                 15     
hut                      15     
turning                  15     
crocodiles               15     
launch                   15     
pa--                     15     
baboons                  15     
taking                   15     
picnic                   15     
lemon                    15     
n                        14     
